Custom SKU,Description,Brand,Manufacturer SKU,UPC,MSRP,Cost
140268-02,TAB BACK REST (2013),ADAMS,,58817043246,109.99,55
140271-01,BLOCK HITCH/SLEEVE SET,ADAMS,,58817385759,49.99,25
140271-04,ADAMS 4 PIECE SLEEVE SET,ADAMS,,58817668746,34.99,17.5
140278,ADAMS HITCH SNAP PIN WITH NUT,ADAMS,,58817284298,16.99,8.5
145950-12-01,ORIGINAL FOLDER COMPACT BLACK,ADAMS,,58817931925,358.49,190
145950-12-02,ORIGINAL FOLDER COMPACT SILVER,ADAMS,,58817931932,358.49,190
146000-12-01,ORIGINAL FOLDER 1 BLACK,ADAMS,,58817931963,358.49,190
146000-12-03,ORIGINAL FOLDER 1 SILVER,ADAMS,,58817931987,358.49,190
152016-02,"36"" BASESYS EDU PANEL SLATWALL",YAKIMA,8009411,58817198625,149.99,75
152016-03,"36"" STREAMLINE DEMO PANL SLTWL",YAKIMA,8009400,58817198632,899.99,450
152016-20,SINGLE HITCH RACK FLOOR STAND,YAKIMA,8009403,58817198809,299.99,150
152016-30,EVA DISPLAY GEN2,YAKIMA,8009345,58817198847,6699.99,3350
152016-31,GEN2 EVA DISPLAY TOWER/BAR KIT,YAKIMA,8009346,736745093464,399.99,200
152019-23,FIT/SIGNAGE DISP       8009592,YAKIMA,8009592,736745095925,389.99,195
152019-24,2.5FT POWERBAR         8009599,YAKIMA,8009599,736745095994,64.99,32.5
152019-25,5FT POWERBAR           8009600,YAKIMA,8009600,736745096007,84.99,42.5
152990-02,RAILBAR SM 1-BAR       8000432,YAKIMA,8000432,736745004323,309.99,185
152990-03,RAILBAR MD 1 BAR       8000433,YAKIMA,8000433,736745004330,309.99,185
152990-04,RAILBAR LG 1 BAR       8000434,YAKIMA,8000434,736745004347,309.99,185
152990-05,RAILBAR XL 1 BAR       8000435,YAKIMA,8000435,736745004354,309.99,185
152990-12,RAILBAR SM 1-BAR - BLK 8000447,YAKIMA,8000447,736745004477,309.99,185
152990-13,RAILBAR MD 1-BAR - BLK 8000448,YAKIMA,8000448,736745004484,309.99,185
152990-14,RAILBAR LG 1-BAR - BLK 8000449,YAKIMA,8000449,736745004491,309.99,185
152990-15,RAILBAR XL 1-BAR - BLK 8000450,YAKIMA,8000450,736745004507,309.99,185
152992-07,FLUSHBAR LG (YS7)1-BAR 8000442,YAKIMA,8000442,736745004422,324.99,190
152992-08,FLUSHBAR XL (YS8)1-BAR 8000443,YAKIMA,8000443,736745004439,324.99,190
152992-17,FLSHBR LG 1-BAR - BLK  8000457,YAKIMA,8000457,736745004576,324.99,190
152993-01,"HD BAR SM (55"")        8001156",YAKIMA,8001156,736745011567,379.99,250
152993-02,"HD BAR MD (60"")        8001157",YAKIMA,8001157,736745011574,379.99,250
152993-03,"HD BAR LG (68"")        8001158",YAKIMA,8001158,736745011581,379.99,250
152993-04,"HD BAR XL (78"")        8001159",YAKIMA,8001159,736745011598,379.99,250
152993-05,HD BAR STREAMINE ADPTR 8003541,YAKIMA,8003541,736745035419,49.99,30
152993-06,WEAR STRIP (2)         8001166,YAKIMA,8001166,736745011666,49.99,30
152996-323,KIT - K323 - PERMANENT 8000156,YAKIMA,8000156,736745001568,149.99,95
152996-328,KIT - 328 - RAISD RAIL 8000158,YAKIMA,8000158,736745001582,149.99,95
152996-450,KIT - K450 - TRACK     8000157,YAKIMA,8000157,736745001575,149.99,95
153000-01,RACK AND ROLL 66       8008106,YAKIMA,8008106,736745081065,4149.99,2700
153000-02,RACK AND ROLL 78       8008107,YAKIMA,8008107,736745081072,4499.99,3000
